language,year,count,length,percent
bg,2018,1,1,0.013225763787858748
ca,2017,1,1,0.02061430632859204
ca,2018,2,2,0.026451527575717497
ca,2020,1,1,0.018086453246518357
ca,2021,1,1,0.02320185614849188
ca,2022,2,2,0.05611672278338946
ca,2023,1,1,0.10626992561105207
cy,2022,1,1,0.02805836139169473
da,2018,1,1,0.013225763787858748
en,2011,1,1,100.0
en,2012,2,2,100.0
en,2013,2,2,100.0
en,2014,48,48,100.0
en,2015,159,159,100.0
en,2016,1034,1034,99.90338164251207
en,2017,4849,4849,99.95877138734282
en,2018,7551,7551,99.86774236212142
en,2019,4708,4708,99.8939104604286
en,2020,5525,5525,99.92765418701393
en,2021,4302,4302,99.81438515081207
en,2022,3558,3558,99.83164983164983
en,2023,939,939,99.7874601487779
es,2018,1,1,0.013225763787858748
es,2019,1,1,0.02121790791427965
fr,2016,1,1,0.0966183574879227
fr,2018,1,1,0.013225763787858748
fr,2019,3,3,0.06365372374283895
fr,2020,1,1,0.018086453246518357
fr,2022,1,1,0.02805836139169473
fr,2023,1,1,0.10626992561105207
it,2021,7,7,0.16241299303944315
it,2022,2,2,0.05611672278338946
pt,2018,1,1,0.013225763787858748
pt,2020,2,2,0.03617290649303671
ro,2017,1,1,0.02061430632859204
ro,2019,1,1,0.02121790791427965
sq,2018,1,1,0.013225763787858748
sv,2018,2,2,0.026451527575717497
